"Codice","Descrizione","QtaGiac"
"OV020M030","Olio di rosa mosqueta R-PET (30 ml)","4083.00"
"P000022","Campione singolo Crema viso IDRATANTE - ALOE VERA E ARGAN (3 ml)","1309.00"
"P000023","Campione singolo Bagnodoccia mediterraneo (8 ml)","12137.00"
"P000026","Campione singolo Crema viso NUTRIENTE - ARGAN E KARITE (3 ml)","3378.00"
"P000029","Campione singolo Bio Bagnetto corpo e capelli (7 ml)","1307.00"
"P000030","Campione singolo Bio crema lenitiva viso e corpo (5 ml)","13212.00"
"P000031","Campione singolo Bio pasta protettiva per il cambio (3 ml)","21042.00"
"P000035","Campione singolo Crema viso no-age melagrana (3 ml)","30307.00"
"P000036","Campione singolo Crema viso nutriente mirtilla (3 ml)","7500.00"
"P000068","Campione singolo Crema viso idratante melissa (3 ml)","1564.00"
"P000069","Campione singolo Idro-gel viso illuminante shine (3 ml)","1946.00"
"P000070","Campione singolo Latte struccante melissa (3 ml)","9162.00"
"P000097","Campione singolo BB cream SAND (2 ml)","1132.00"
"P000098","Campione singolo BB cream FAIR (2 ml)","2239.00"
"P000099","Campione singolo BB cream BEIGE (2 ml)","521.00"
"P000104","Campione singolo Crema corpo nutriente - Soffice di Karitè (8 ml)","14180.00"
"P000105","Campione singolo Crema corpo idratante - Sorbetto di fiori e radici (8 ml)","11328.00"
"P000106","Campione singolo Detergente corpo Iris e Zenzero - Succo di fiori (8 ml)","13479.00"
"P000107","Campione singolo Detergente corpo Vaniglia e Carota - Dolce Schiuma (8 ml)","13223.00"
"P000112","Volantino singolo ""DIY Cosmetics""","185.00"
"P000143","Campioni Crema viso NUTRIENTE - ARGAN E KARITé linea Argan (25 pz)","152.00"
"P000146","Campioni Bagnodoccia mediterraneo (25 pz)","649.00"
"P000149","Campioni Crema viso IDRATANTE - ALOE VERA E ARGAN Linea Argan (25 pz)","29.00"
"P000150","Campioni Bio Bagnetto corpo e capelli (25 pz)","235.00"
"P000151","Campioni Bio crema lenitiva viso e corpo  (25 pz)","172.00"
"P000152","Campioni Bio pasta protettiva per il cambio (25 pz)","9.00"
"P000156","Campioni Crema viso no-age melagrana (25 pz)","36.00"
"P000157","Campioni Crema viso nutriente mirtilla (26 pz)","659.00"
"P000158","Campioni Crema viso idratante melissa (25 pz)","151.00"
